Respondent,Professional,Countries,EmploymentStatus,CompanySize,CompanyType,JobSatisfaction,JobSeekingStatus,ImportantBenefits
2628,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Retirement; Annual bonus; Vacation/days off; Equipment; Remote options
2632,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,2,NA,NA
2633,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,NA,NA
2751,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Stock options; Retirement; Equipment; Long-term leave; Remote options
2761,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
2852,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
2855,Professional developer,Japan,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
2976,Professional developer,Australia,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,"I'm not actively looking, but I am open to new opportunities",Equipment; Professional development sponsorship; Expected work hours; Remote options
2983,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,"I'm not actively looking, but I am open to new opportunities",Stock options; Annual bonus; Equipment; Remote options; Meals
2993,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,NA,NA
3079,Professional developer,Singapore,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Annual bonus; Health benefits; Professional development sponsorship; Expected work hours; Remote options
3154,Professional developer,Germany,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Private office; Long-term leave; Expected work hours; Remote options
3630,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,4,"I'm not actively looking, but I am open to new opportunities",Retirement; Vacation/days off; Expected work hours; Remote options; Meals
3806,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,I am not interested in new job opportunities,Vacation/days off; Equipment; Professional development sponsorship
3944,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
4225,Professional developer,Germany,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am not interested in new job opportunities,Retirement; Vacation/days off; Equipment; Private office; Expected work hours
4226,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",NA
4240,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,NA,NA
4286,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
4717,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Retirement; Annual bonus; Vacation/days off; Health benefits; Remote options
4765,Professional developer,Australia,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Health benefits; Expected work hours; Remote options
4901,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am not interested in new job opportunities,Retirement; Annual bonus; Vacation/days off; Professional development sponsorship; Remote options
4917,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Retirement; Annual bonus; Vacation/days off; Equipment; Expected work hours
4989,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Stock options; Vacation/days off; Health benefits; Expected work hours; Remote options
5076,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,"I'm not actively looking, but I am open to new opportunities",Retirement; Vacation/days off; Health benefits; Private office; Education sponsorship
5105,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,NA,NA
5128,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Retirement; Annual bonus; Health benefits; Equipment; Professional development sponsorship
5200,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,NA,NA
5213,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Health benefits; Professional development sponsorship; Long-term leave; Remote options
5219,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,NA,NA
5438,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,"I'm not actively looking, but I am open to new opportunities",Retirement; Annual bonus; Vacation/days off; Long-term leave; Remote options
5453,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,I am not interested in new job opportunities,Vacation/days off; Health benefits; Professional development sponsorship; Long-term leave; Meals
5463,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am not interested in new job opportunities,Annual bonus; Vacation/days off; Expected work hours; Remote options; Child/elder care
5501,Professional developer,India,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
5553,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
5691,Professional developer,Ireland,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,4,I am not interested in new job opportunities,Stock options; Retirement; Annual bonus; Vacation/days off; Health benefits
5700,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,I am not interested in new job opportunities,Health benefits; Expected work hours; Remote options
5702,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
5883,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,3,NA,NA
6013,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,NA,NA
6025,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Annual bonus; Vacation/days off; Health benefits; Expected work hours; Remote options
6048,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,I am not interested in new job opportunities,Annual bonus; Vacation/days off; Professional development sponsorship; Remote options
6059,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,"I'm not actively looking, but I am open to new opportunities",Annual bonus; Health benefits; Equipment; Expected work hours; Remote options
6081,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,NA,NA
6216,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,"I'm not actively looking, but I am open to new opportunities",Retirement; Vacation/days off; Private office; Expected work hours; Remote options
6300,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,I am not interested in new job opportunities,Annual bonus; Vacation/days off; Charitable match; Health benefits; Long-term leave
6315,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
6321,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
6376,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,NA,NA
6551,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,4,NA,NA
6572,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,I am not interested in new job opportunities,Retirement; Vacation/days off; Health benefits; Remote options
6667,Professional developer,Ireland,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,I am actively looking for a job,Stock options; Retirement; Vacation/days off; Equipment; Expected work hours
6707,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,"I'm not actively looking, but I am open to new opportunities",Annual bonus; Vacation/days off; Equipment; Remote options; Child/elder care
6900,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,I am not interested in new job opportunities,Stock options; Health benefits; Equipment; Private office; Expected work hours
6910,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",NA
6999,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,I am not interested in new job opportunities,Retirement; Annual bonus; Charitable match; Health benefits; Remote options
7152,Professional developer,India,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,"I'm not actively looking, but I am open to new opportunities",Annual bonus; Health benefits; Equipment; Professional development sponsorship; Remote options
7400,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,3,I am not interested in new job opportunities,Stock options; Vacation/days off; Health benefits
7519,Professional developer,Germany,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Retirement; Annual bonus; Vacation/days off; Health benefits; Expected work hours
7583,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Stock options; Retirement; Vacation/days off; Health benefits; Remote options
7729,Professional developer,India,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,4,I am actively looking for a job,Annual bonus; Vacation/days off; Equipment; Long-term leave; Remote options
8029,Professional developer,Germany,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
8155,Professional developer,Australia,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,NA,NA
8506,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,"I'm not actively looking, but I am open to new opportunities",Retirement; Vacation/days off; Equipment; Professional development sponsorship; Expected work hours
8562,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,I am not interested in new job opportunities,Stock options; Retirement; Health benefits; Equipment
8628,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,I am not interested in new job opportunities,Vacation/days off; Health benefits; Professional development sponsorship; Remote options; Meals
8698,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,NA,NA
8783,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,NA,NA
8790,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",None of these
8968,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,3,"I'm not actively looking, but I am open to new opportunities",Retirement; Vacation/days off; Private office; Professional development sponsorship; Remote options
8970,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,NA,NA
8978,Professional developer,India,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,2,NA,NA
9094,Professional developer,India,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
9520,Professional developer,Ireland,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,NA,NA
9637,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,I am not interested in new job opportunities,Retirement; Health benefits; Long-term leave; Expected work hours
9670,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Retirement; Annual bonus; Vacation/days off; Equipment; Expected work hours
9737,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Retirement; Annual bonus; Health benefits; Professional development sponsorship; Remote options
9832,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Charitable match; Health benefits; Professional development sponsorship; Other
9871,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,"I'm not actively looking, but I am open to new opportunities",Annual bonus; Vacation/days off; Health benefits; Equipment; Professional development sponsorship
9902,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,3,"I'm not actively looking, but I am open to new opportunities",Stock options; Retirement; Annual bonus; Equipment; Remote options
9966,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,"I'm not actively looking, but I am open to new opportunities",Retirement; Annual bonus; Private office; Professional development sponsorship; Remote options
10012,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,I am not interested in new job opportunities,NA
10130,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Health benefits; Equipment; Expected work hours; Remote options
10133,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,3,"I'm not actively looking, but I am open to new opportunities",Retirement; Equipment; Private office; Expected work hours; Remote options
10274,Professional developer,Japan,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,"I'm not actively looking, but I am open to new opportunities",Retirement; Annual bonus; Vacation/days off; Equipment; Remote options
10406,Professional developer,India,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Stock options; Annual bonus; Health benefits; Professional development sponsorship; Remote options
10417,Professional developer,Germany,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Equipment; Professional development sponsorship; Long-term leave; Child/elder care
10509,Professional developer,Ireland,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Stock options; Vacation/days off; Equipment; Remote options; Meals
10608,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,"I'm not actively looking, but I am open to new opportunities",Retirement; Annual bonus; Equipment; Expected work hours; Remote options
11109,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,"I'm not actively looking, but I am open to new opportunities",Stock options; Retirement; Vacation/days off; Health benefits; Child/elder care
11181,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am not interested in new job opportunities,Retirement; Health benefits; Equipment; Other
11203,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am not interested in new job opportunities,Retirement; Vacation/days off; Health benefits; Expected work hours; Remote options
11376,Professional developer,Australia,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,NA,NA
11383,Professional developer,Australia,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,NA,NA
11437,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,I am not interested in new job opportunities,Retirement; Annual bonus; Vacation/days off; Health benefits; Remote options
11443,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
11470,Professional developer,Brazil,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,I am not interested in new job opportunities,Annual bonus; Vacation/days off; Remote options
11474,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Retirement; Annual bonus; Vacation/days off; Health benefits; Equipment
11478,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Health benefits; Equipment; Professional development sponsorship; Remote options
11607,Professional developer,Australia,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,"I'm not actively looking, but I am open to new opportunities",Annual bonus; Vacation/days off; Long-term leave; Expected work hours; Remote options
11638,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,I am not interested in new job opportunities,Retirement; Health benefits
11652,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Health benefits; Professional development sponsorship; Long-term leave; Expected work hours; Remote options
11653,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,I am not interested in new job opportunities,Vacation/days off; Equipment; Expected work hours; Meals
11709,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,I am not interested in new job opportunities,Stock options; Annual bonus; Equipment; Remote options
11804,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Retirement; Annual bonus; Health benefits; Equipment; Remote options
12526,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am not interested in new job opportunities,Stock options; Retirement; Equipment; Professional development sponsorship; Remote options
12699,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,I am not interested in new job opportunities,Stock options; Retirement; Annual bonus; Private office
12749,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Annual bonus; Health benefits; Equipment; Education sponsorship; Long-term leave
12784,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",NA
12803,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,"I'm not actively looking, but I am open to new opportunities",Retirement; Vacation/days off; Health benefits; Remote options
12869,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Annual bonus; Vacation/days off; Health benefits; Equipment; Remote options
13034,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",NA
13230,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Retirement; Vacation/days off; Health benefits; Expected work hours; Remote options
13244,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Stock options; Vacation/days off; Equipment; Expected work hours; Remote options
13250,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,I am not interested in new job opportunities,Stock options; Retirement; Vacation/days off; Health benefits; Equipment
13300,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,"I'm not actively looking, but I am open to new opportunities",Retirement; Vacation/days off; Health benefits; Remote options
13516,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,I am not interested in new job opportunities,Retirement; Vacation/days off; Expected work hours; Meals; Other
13807,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,"I'm not actively looking, but I am open to new opportunities",Retirement; Health benefits; Equipment; Professional development sponsorship; Education sponsorship
13817,Professional developer,Brazil,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,I am actively looking for a job,NA
13834,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,2,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Health benefits; Private office; Expected work hours; Remote options
13879,Professional developer,Ireland,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",NA
13935,Professional developer,Ireland,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,"I'm not actively looking, but I am open to new opportunities",Expected work hours; Remote options
14004,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,1,I am actively looking for a job,Retirement; Annual bonus; Vacation/days off; Health benefits; Expected work hours
14039,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,I am not interested in new job opportunities,Health benefits; Equipment; Professional development sponsorship; Education sponsorship; Remote options
14131,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am not interested in new job opportunities,Vacation/days off; Health benefits; Expected work hours; Remote options; Other
14329,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Health benefits; Equipment; Education sponsorship; Expected work hours
14357,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,I am not interested in new job opportunities,Vacation/days off; Health benefits; Expected work hours; Remote options
14364,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Retirement; Health benefits; Expected work hours; Remote options
